Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,-,-16.0,-24.8,-21.9,-26.0,-35.0,-25.8,-28.9,-34.5,-27.6,-22.4,-14.8
1981,-15.0,-23.1,-23.9,-31.4,-32.1,-30.0,-35.8,-43.0,-35.2,-28.9,-23.1,-14.7
1982,-13.7,-20.0,-29.9,-38.8,-35.8,-30.5,-36.6,-31.8,-36.3,-30.0,-21.7,-13.1
1983,-15.1,-26.5,-27.9,-28.4,-29.5,-39.6,-40.0,-42.5,-34.1,-31.1,-22.9,-15.7
1984,-15.3,-19.5,-21.6,-27.6,-29.7,-28.9,-40.1,-39.2,-36.8,-25.3,-20.2,-12.8
1985,-13.6,-23.0,-27.3,-28.5,-29.3,-30.3,-41.4,-39.1,-33.4,-29.1,-16.3,-15.7
1986,-14.8,-19.8,-27.8,-27.6,-27.0,-36.9,-36.4,-40.6,-44.7,-29.8,-20.8,-14.3
1987,-13.8,-19.1,-32.9,-32.9,-31.3,-28.8,-28.3,-32.1,-34.2,-28.4,-23.5,-14.0
1988,-13.6,-20.7,-28.4,-,-,-,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,-,-,-
1990,-,-20.1,-32.3,-29.7,-27.6,-38.6,-36.5,-40.3,-30.4,-36.0,-,-
1991,-16.4,-15.8,-29.1,-28.4,-30.1,-32.1,-35.6,-37.6,-31.2,-25.9,-20.4,-11.0
1992,-14.6,-22.5,-22.8,-28.7,-24.0,-31.9,-,-,-,-,-,-
1993,-,-,-,-,-,-,-,-,-,-,-,-
1994,-,-21.9,-29.6,-25.9,-29.9,-31.7,-33.0,-38.9,-36.5,-25.4,-16.9,-11.8
1995,-14.1,-16.8,-29.4,-29.2,-35.7,-26.5,-35.1,-34.6,-32.5,-31.1,-21.4,-13.9
1996,-13.8,-20.8,-26.7,-28.4,-,-,-,-,-,-,-,-
1997,-13.0,-20.1,-26.8,-33.0,-34.0,-28.6,-34.6,-38.8,-33.4,-23.8,-18.2,-10.5
1998,-13.5,-15.6,-27.1,-33.0,-24.0,-25.8,-40.1,-34.6,-35.7,-32.0,-22.5,-14.5
1999,-12.7,-22.1,-26.2,-33.6,-32.8,-,-,-,-,-,-19.0,-14.3
2000,-16.9,-19.1,-21.9,-33.8,-29.3,-30.0,-29.3,-34.1,-31.7,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-
2002,-13.4,-20.2,-19.9,-31.9,-,-,-,-,-,-,-14.2,-14.3
2003,-12.4,-20.0,-22.5,-28.3,-31.5,-33.1,-36.0,-36.3,-,-29.0,-20.7,-13.1
2004,-13.7,-21.0,-28.1,-29.7,-39.6,-,-,-,-,-,-,-14.2
2005,-9.7,-23.0,-28.3,-31.8,-30.3,-,-,-,-,-,-,-
2006,-13.7,-15.3,-28.9,-35.8,-37.2,-31.7,-36.5,-29.6,-34.3,-26.1,-19.2,-14.4
2007,-10.4,-19.7,-22.5,-25.9,-27.0,-29.4,-29.5,-37.0,-36.9,-25.6,-18.3,-14.1
2008,-12.3,-19.8,-23.0,-29.3,-32.0,-28.0,-,-27.5,-27.9,-25.0,-22.4,-15.9
2009,-14.4,-20.9,-24.5,-28.2,-32.9,-34.1,-26.9,-33.5,-35.9,-30.8,-16.8,-12.2
2010,-14.1,-18.5,-22.2,-29.8,-35.7,-35.9,-40.4,-31.4,-33.4,-28.2,-22.5,-14.9
2011,-15.3,-21.8,-26.0,-30.3,-31.6,-33.8,-23.4,-29.2,-38.4,-26.2,-20.1,-14.8
2012,-15.4,-18.9,-24.1,-29.8,-26.7,-37.3,-37.0,-36.4,-33.7,-27.1,-22.0,-11.7
2013,-12.4,-19.8,-21.7,-36.5,-33.0,-40.1,-38.3,-33.6,-33.9,-28.4,-23.7,-13.3
2014,-14.1,-21.4,-28.1,-31.5,-26.6,-33.0,-38.3,-29.4,-25.8,-25.1,-24.6,-17.9
2015,-13.2,-17.3,-27.8,-36.9,-27.6,-36.2,-38.3,-42.5,-32.4,-25.9,-23.0,-15.5
2016,-12.2,-22.8,-30.7,-31.4,-29.8,-34.4,-31.8,-33.9,-37.4,-24.8,-20.9,-12.9
2017,-15.0,-17.4,-24.1,-24.3,-28.1,-31.7,-39.2,-34.7,-42.6,-28.4,-22.5,-16.1
2018,-15.5,-20.5,-26.0,-30.3,-34.9,-36.1,-32.6,-40.1,-35.9,-24.0,-20.2,-14.9
2019,-13.6,-18.3,-26.2,-31.0,-33.6,-29.8,-31.7,-31.1,-30.6,-29.5,-20.9,-13.2
2020,-15.1,-15.8,-28.4,-31.3,-26.1,-35.2,-30.5,-35.9,-33.6,-29.8,-24.0,-16.4
2021,-15.7,-21.9,-30.4,-35.4,-30.6,-29.7,-30.5,-39.8,-35.5,-28.9,-20.6,-16.5
2022,-16.1,-19.1,-25.5,-29.1,-29.0,-35.0,-30.4,-30.7,-34.0,-,-,-
