Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1903,-,-,-,-6.3,-8.3,-12.5,-8.4,-7.5,-10.3,-2.8,-1.5,-0.3
1904,0.2,0.4,0.2,-3.9,-11.9,-8.5,-13.9,-10.8,-6.4,-7.6,-0.5,-1.8
1905,-0.4,-0.8,-0.2,-4.3,-8.2,-11.9,-16.5,-5.3,-3.3,-2.4,-1.4,0
1906,1.1,0.4,-1.4,-1.6,-7,-12,-11.8,-8.5,-8.3,-4.3,-1.5,-0.4
1907,0.4,1.4,0.1,-0.9,-4.5,-11.4,-12,-16.7,-7.8,-4.7,-1.8,-1.4
1908,-0.1,1.2,0.2,-1.5,-4.1,-5.4,-12.5,-6.2,-2.9,-2.4,-1.3,-0.6
1909,1,0.6,-0.3,-3.5,-9.4,-10.2,-12.2,-6.6,-7.5,-2.4,-2.2,-0.9
1910,-0.1,0.8,0.4,-1.9,-2.9,-5.2,-8,-11.5,-5.8,-3.2,-1.3,-1.5
1911,-0.7,0.6,-0.7,-5.4,-5.9,-5.6,-8.9,-5.7,-4,-3.5,-4.4,-1.6
1912,0.7,0.9,-1.6,-5.3,-9.7,-11.5,-14.3,-13.2,-5.6,-4.6,-4.1,-1.3
1913,-1,-0.5,-1.9,-2.4,-4,-14.4,-13.2,-7.8,-5,-5.3,-4.9,0.2
1914,-0.2,0.6,0.4,-0.5,-3.3,-9,-13.4,-7.4,-6,-5.8,-3.1,-0.1
1915,-0.6,-0.4,-0.6,-4.6,-11.1,-13.4,-14.3,-18,-6.2,-3.4,-1.9,-1.4
1916,0.1,0,-1.3,-5.3,-12.6,-10.6,-11.2,-7.6,-11.2,-4.3,-1.3,-0.6
1917,0.4,0.6,0.2,-0.5,-1.8,-10.2,-6.9,-8.7,-11.3,-1.8,-0.4,0.3
1918,1.9,1.1,0.2,-1.8,-9.1,-6.6,-7.6,-16.2,-5,-0.5,-1.4,-0.4
1919,0.9,0.8,0.4,-3.8,-8.6,-8.5,-6.9,-3.8,-4.6,-3.5,-4.9,0.2
1920,0.3,0,-1,-1.7,-5.8,-8.9,-10,-8.9,-8.8,-8.4,-2,-1.5
1921,-0.7,-0.2,-0.5,-1.5,-10.8,-6.1,-9.8,-13.3,-6.4,-1.9,-3.2,-0.9
1922,0.4,0.8,-1.4,-3.7,-9.8,-10,-6.8,-9.7,-6.2,-3.4,-0.4,-0.1
