Species,Colony,Date nests counted,Number of nests,Date chicks counted,Number of chicks,Comments
Gentoo penguin,Johnson,20-Oct-19,1366,19-Jan-20,1742,
Gentoo penguin,Landing Beach,20-Oct-19,418,19-Jan-20,634,
Gentoo penguin,Upper Natural Arch,19-Oct-19,139,18-Jan-20,391,
Gentoo penguin,Lower Natural Arch,19-Oct-19,839,18-Jan-20,1030,
Gentoo penguin,Upper Mountain Cwm,19-Oct-19,23,18-Jan-20,181,
Gentoo penguin,Lower Mountain Cwm,19-Oct-19,154,18-Jan-20,495,
Gentoo penguin,Square Pond,19-Oct-19,705,18-Jan-20,879,
Gentoo penguin,Square Pond,16-Nov-18,581,12-Feb-19,839,3 adults still brooding and 1 still on a nest
Gentoo penguin,Johnson,16-Nov-18,1193,14-Feb-19,1451,5 adults still brooding
Gentoo penguin,Landing Beach,15-Nov-18,413,12-Feb-19,474,
Gentoo penguin,Lower Mountain Cwm,15-Nov-18,296,12-Feb-19,325,4 adults still brooding and 1 still on a nest
Gentoo penguin,Upper Mountain Cwm,15-Nov-18,162,12-Feb-19,173,
Gentoo penguin,Lower Natural Arch,15-Nov-18,667,12-Feb-19,851,
Gentoo penguin,Upper Natural Arch,15-Nov-18,176,12-Feb-19,282,
Gentoo penguin,Square Pond,13-Oct-17,450,12-Jan-18,594,plus 7 chicks being brooded and one adult on eggs.
Gentoo penguin,Lower Mountain Cwm,13-Oct-17,359,13-Jan-18,441,
Gentoo penguin,Upper Mountain Cwm,13-Oct-17,231,13-Jan-18,208,Plus 7 adults brooding chicks
Gentoo penguin,Lower Natural Arch,13-Oct-17,937,13-Jan-18,1006,Plus 1 adult on eggs and 1 adult brooding chicks
Gentoo penguin,Johnson,13-Oct-17,1275,12-Jan-18,1331,
Gentoo penguin,Landing Beach,13-Oct-17,511,12-Jan-18,495,
Gentoo penguin,Upper Natural Arch,13-Oct-17,202,13-Jan-18,160,
Gentoo penguin,Landing Beach,23-Oct-16,394,21-Jan-17,476,
Gentoo penguin,Lower Mountain Cwm,23-Oct-16,223,22-Jan-17,374,Higher proportion of empty nests at nest count; plus 2 nests of 2 chicks each being brooded at chick count
Gentoo penguin,Upper Natural Arch,23-Oct-16,170,22-Jan-17,265,Plus 1 nest/2 chicks being brooded and 1 nest/2eggs being incubated
Gentoo penguin,Lower Natural Arch,23-Oct-16,862,22-Jan-17,762,Plus 1 nest/2chicks being brooded
Gentoo penguin,Upper Mountain Cwm,23-Oct-16,248,22-Jan-17,233,
Gentoo penguin,Johnson,22-Oct-16,1218,21-Jan-17,1217,Plus 2 nests of 1 chick each being brooded.
