Timestamp,Where is your team's mission control center? (At which institution are you a student?),"Rate your skill at fishing, from 1-5 (1= low, 5=high)",Can you swim?,"Rate your tolerance of cold, from 1-5 (1=low, 5=high)",Do you get along with animals?,"Rate how you feel about being on a remote location with 30 other people, from 1-5 (1=skeptical, 5=great!).",What color do you want your parka?,What animal should be on our team flag?,How far would you be traveling from your home of origin (however defined) to Antarctica?  Write your answer in numerical form.,"Rate the quality of your bedside manner when taking care of sick people, from 1-5 (1= low, 5=high)","Rate your skill at cooking, from 1-5 (1= low, 5=high)",What is your ideal room temperature (in F),How far would you be traveling from your home of origin (however defined) to Antarctica?  Write you answer in number form. [Goal here is to create data for a continuous variable. We can be vague about units and then have that be a point of discussion when reviewing the spreadsheet. 
8/30/22 16:08,University of Arizona,1,Yes,4,Yes,4,Gold,Penguin,"10,000 Miles",1,4,,
8/30/22 16:09,University of Arizona,2,Yes,4,Yes,5,Blue,Bear,"8,630 Miles.",5,5,,
8/30/22 16:09,University of Arizona,2,Yes,4,Yes,3,Green,Penguin,9600 miles,4,4,,
8/30/22 16:09,University of Arizona,1,Yes,1,Yes,1,Blue,Seal,"8,625 miles",5,1,,
8/30/22 16:09,University of Arizona,1,Yes,3,Yes,3,White,Sea Spider (Pycnogonida - google it),8000mi,4,2,,
8/30/22 16:09,University of Arizona,1,Yes,3,Yes,3,hot pink,Penguin,"8,625 miles",4,5,,
8/30/22 16:09,University of Arizona,1,Yes,2,Yes,3,Blue,Sea Spider (Pycnogonida - google it),"8,800",3,4,,
8/30/22 16:09,University of Arizona,2,Yes,2,Yes,4,Blue,Penguin,8625 miles,3,4,,
8/30/22 16:09,University of Arizona,2,Yes,2,Yes,5,White,Bear,"8,949 miles",4,4,,
8/30/22 16:09,University of Arizona,5,Yes,5,Yes,5,Blue,Penguin,"9,000 miles",1,4,,
8/30/22 16:09,University of Arizona,1,Yes,4,Maybe,3,purple,Seal,"9,165 miles",2,3,,
8/30/22 16:09,University of Arizona,2,Yes,4,Yes,3,White,Penguin,"8,747 miles",4,,,
8/30/22 16:10,University of Arizona,2,Yes,4,Yes,4,Green,Seal,8700,3,2,,
8/30/22 16:10,University of Arizona,1,I can dog paddle,3,Maybe,2,Black,Penguin,12000 km,2,2,,
8/30/22 16:10,University of Arizona,5,Yes,4,Maybe,3,White,Bear,"8,625 miles",3,2,,
8/30/22 16:10,University of Arizona,3,Yes,3,Yes,3,Orange,Penguin,"8,635 miles ",5,4,,
