date,net,time,num_fish,bay
2021-03-01,1,AM,7,Wilhelmenia
2021-03-01,2,AM,4,Wilhelmenia
2021-03-01,3,AM,2,Wilhelmenia
2021-03-01,4,AM,2,Wilhelmenia
2021-03-01,5,AM,5,Wilhelmenia
2021-03-01,1,PM,1,Wilhelmenia
2021-03-01,2,PM,0,Wilhelmenia
2021-03-01,3,PM,4,Wilhelmenia
2021-03-01,4,PM,6,Wilhelmenia
2021-03-01,5,PM,1,Wilhelmenia
2021-03-01,1,AM,6,Marguarite
2021-03-01,2,AM,1,Marguarite
2021-03-01,3,AM,3,Marguarite
2021-03-01,4,AM,4,Marguarite
2021-03-01,5,AM,4,Marguarite
2021-03-01,1,PM,2,Marguarite
2021-03-01,2,PM,4,Marguarite
2021-03-01,3,PM,3,Marguarite
2021-03-01,4,PM,4,Marguarite
2021-03-01,5,PM,4,Marguarite
2021-03-02,1,AM,4,Wilhelmenia
2021-03-02,2,AM,5,Wilhelmenia
2021-03-02,3,AM,5,Wilhelmenia
2021-03-02,4,AM,6,Wilhelmenia
2021-03-02,5,AM,2,Wilhelmenia
2021-03-02,1,PM,5,Wilhelmenia
2021-03-02,2,PM,5,Wilhelmenia
2021-03-02,3,PM,6,Wilhelmenia
2021-03-02,4,PM,5,Wilhelmenia
2021-03-02,5,PM,5,Wilhelmenia
2021-03-02,1,AM,4,Marguarite
2021-03-02,2,AM,3,Marguarite
2021-03-02,3,AM,6,Marguarite
2021-03-02,4,AM,3,Marguarite
2021-03-02,5,AM,1,Marguarite
2021-03-02,1,PM,3,Marguarite
2021-03-02,2,PM,6,Marguarite
2021-03-02,3,PM,6,Marguarite
2021-03-02,4,PM,3,Marguarite
2021-03-02,5,PM,1,Marguarite
2021-03-03,1,AM,5,Wilhelmenia
2021-03-03,2,AM,6,Wilhelmenia
2021-03-03,3,AM,4,Wilhelmenia
2021-03-03,4,AM,4,Wilhelmenia
2021-03-03,5,AM,6,Wilhelmenia
2021-03-03,1,PM,3,Wilhelmenia
2021-03-03,2,PM,3,Wilhelmenia
2021-03-03,3,PM,7,Wilhelmenia
2021-03-03,4,PM,8,Wilhelmenia
2021-03-03,5,PM,5,Wilhelmenia
2021-03-03,1,AM,3,Marguarite
2021-03-03,2,AM,4,Marguarite
2021-03-03,3,AM,2,Marguarite
2021-03-03,4,AM,3,Marguarite
2021-03-03,5,AM,5,Marguarite
2021-03-03,1,PM,2,Marguarite
