tank_id,species,avg_daily_temp,num_fish,day_length,tank_volume,size_day_30,ammonia,avg_daily_temp_F,below,num_sick,oxygen
1,tilapia,23.028629046116276,99,9,398.8529103958783,2775.7374665884035,0.10535890710305051,73.4515322830093,TRUE,4,9.67885190361663
2,tilapia,24.124384006740094,98,10,398.96918166228517,2779.5452783983005,0.11655985926852039,75.42389121213216,FALSE,8,9.295318953572814
3,tilapia,24.61505846227702,101,10,400.2663482998854,2771.8558512098493,0.10518908536676527,76.30710523209864,FALSE,1,9.150958141230483
4,tilapia,24.447151681430157,103,8,399.10423313328783,2782.1045590029703,0.09653184929630518,76.00487302657427,FALSE,3,9.191244448885804
5,tilapia,24.485316730920992,101,11,399.8117330196755,2773.5428038681716,0.09916563404654466,76.07357011565779,FALSE,11,9.157789719831719
6,tilapia,23.06903726330428,99,10,398.7136626290667,2782.2112315964882,0.09908583155037885,73.5242670739477,TRUE,7,9.567232201784298
7,tilapia,23.75126212828681,94,11,400.43238891467394,2774.8168783037518,0.09009164908904735,74.75227183091627,TRUE,5,9.47665695438011
8,tilapia,23.75449071964299,98,9,401.18030629746124,2785.6467331828912,0.11772098706397308,74.75808329535738,TRUE,3,9.501422594336988
9,tilapia,23.48065505506834,94,11,400.5002986557239,2780.4363676362677,0.09835541496252097,74.265179099123,TRUE,7,9.47126648780534
10,tilapia,24.08489108266643,95,9,399.59230896119135,2776.599566784004,0.09444730443194714,75.35280394879958,FALSE,10,9.007946871927981
11,tilapia,24.183740398375306,99,10,399.248930315474,2785.9918146286577,0.11177563464008494,75.53073271707555,FALSE,3,9.254577576080788
12,tilapia,24.408460545124022,100,8,399.1628749081189,2787.2656548004893,0.0998545717207377,75.93522898122325,FALSE,2,9.643646223155514
13,tilapia,24.573509557278793,103,10,398.6889033371221,2781.884760679927,0.09247063180730127,76.23231720310183,FALSE,12,9.137125854768485
14,tilapia,23.47455293363249,93,11,401.4441965844524,2776.4573659036882,0.08364446787131,74.25419528053848,TRUE,4,9.578039510242492
15,tilapia,24.099710094438556,102,11,398.93641038609996,2786.1831212503225,0.0935344401181429,75.3794781699894,FALSE,2,9.233270342011734
16,tilapia,24.64393848675412,97,10,399.712622477642,2785.9025123616516,0.09184429284160363,76.35908927615742,FALSE,7,9.175224995976823
17,tilapia,23.99153277048587,92,9,400.5951170205942,2777.973675300808,0.09476259045821601,75.18475898687456,FALSE,8,9.702884579507499
18,tilapia,23.72725029142181,99,11,401.4426844055348,2780.302861628859,0.09174336460111894,74.70905052455926,TRUE,3,9.686169174077694
19,tilapia,24.082385086051907,98,10,398.2258241371738,2779.492037880358,0.1125118148482867,75.34829315489344,FALSE,1,9.344779908802412
20,tilapia,24.324029125166092,100,10,399.4195090477135,2796.442443197394,0.09773486071958937,75.78325242529897,FALSE,4,9.258031719989889
21,tilapia,24.717147338281183,108,8,399.69677193852874,2768.7981958084806,0.07519482200015604,76.49086520890613,FALSE,5,9.217351788635597
22,tilapia,23.308620332065896,98,9,399.8982703294306,2778.527446618019,0.10757415958936067,73.95551659771861,TRUE,2,9.637498316676139
23,tilapia,24.366786628037858,97,12,399.9100438790034,2780.478062678805,0.10021525906690538,75.86021593046814,FALSE,6,9.100536798434804
24,tilapia,23.93630022139638,100,12,400.5334210442315,2781.971861950993,0.09611275162925755,75.0853403985135,FALSE,4,9.753350135087874
25,tilapia,23.946526951112144,95,10,399.00827743675734,2786.4028228664415,0.09018443585043069,75.10374851200186,FALSE,4,9.439297489354662
26,tilapia,23.766144141177417,100,11,400.58049356725155,2779.519477683781,0.12460813971308977,74.77905945411935,TRUE,8,9.44711878837303
27,tilapia,24.030929103486827,100,11,400.833082577771,2780.2220471658707,0.08856872799396395,75.25567238627629,FALSE,4,9.267734921148852
28,tilapia,23.51608818901944,104,10,399.63089715578934,2788.8645586975877,0.09857278087125522,74.328958740235,TRUE,5,9.465173867504788
29,tilapia,24.559915849888927,98,9,399.24605337949635,2778.7966221135594,0.0953268261369061,76.20784852980006,FALSE,12,9.38993553095391
30,tilapia,23.474927534758823,101,8,400.54360671931346,2784.3954599685712,0.10454518773961609,74.25486956256589,TRUE,7,9.13079792798
31,tilapia,23.960140539902227,100,9,400.4212280080252,2778.1205827208196,0.10554794730781476,75.12825297182401,FALSE,12,9.44293254246854
32,tilapia,23.82620740542872,101,9,399.05397798427214,2792.5513763755825,0.09230344509301394,74.88717332977168,TRUE,7,9.629275609943496
33,tilapia,23.172462212078358,102,9,399.9402198455005,2781.8003979324594,0.1021440212405229,73.71043198174104,TRUE,4,9.838846682671946
34,tilapia,23.917001241345073,100,10,398.9301468490416,2789.036560323845,0.10363322402373754,75.05060223442113,FALSE,2,9.501913434471723
35,tilapia,24.44380163053639,101,9,400.15336955606404,2775.081066651424,0.08073844346688701,75.99884293496551,FALSE,2,9.287788004017937
36,tilapia,24.05886378715545,95,10,400.5668877912803,2783.570946258885,0.10450354730586368,75.30595481687982,FALSE,7,9.520062366089983
37,tilapia,23.148714320030592,95,9,400.50141231419286,2782.584441691626,0.11212404161766742,73.66768577605507,TRUE,5,9.636849824315718
38,tilapia,23.648858477260575,104,10,399.40897820707755,2781.74967934245,0.08807605638271569,74.56794525906903,TRUE,5,9.61873821339217
39,tilapia,23.60672456827234,102,11,399.08332735938933,2785.764903977699,0.11328623491621598,74.49210422289022,TRUE,6,9.431240921041393
40,tilapia,23.332990404626663,95,12,398.59432637106477,2784.8924384505235,0.08365147655436049,73.99938272832799,TRUE,6,9.387634565771252
41,tilapia,23.272365266524407,102,12,401.25588492065475,2783.471889024222,0.10119316594987508,73.89025747974392,TRUE,6,9.539130514399284
42,tilapia,23.992823818792214,100,11,399.67252021079406,2789.97140794673,0.10748679409973785,75.18708287382599,FALSE,4,9.445708148376262
43,tilapia,24.21186722237598,100,9,399.25740096891343,2775.833319996415,0.0930601128486803,75.58136100027676,FALSE,7,9.397861212650621
44,tilapia,24.678929929806404,103,10,398.7590249172388,2785.3853100186543,0.10219152825954307,76.42207387365153,FALSE,3,9.353444895919377
45,tilapia,24.444527894143256,102,9,398.3063925797283,2783.913875363196,0.13136693331474522,76.00015020945787,FALSE,0,9.284844855490963
46,tilapia,23.856740177873537,102,9,401.02006008473256,2780.982652058262,0.09086461339741532,74.94213232017236,TRUE,7,9.268252078063755
47,tilapia,23.84719668661014,102,11,399.760884458498,2778.8500540015916,0.10358690314676043,74.92495403589825,TRUE,8,9.501460805848295
48,tilapia,23.303923541033935,98,12,400.0668887650898,2784.9421498693173,0.10714081642949604,73.94706237386109,TRUE,5,9.900082908110438
49,tilapia,23.866874568007553,100,9,401.7044818151839,2786.6888287757747,0.09739642369674471,74.9603742224136,TRUE,6,9.635049462320376
50,tilapia,23.83221404021255,101,8,400.979117595848,2780.793489229736,0.09088790528658128,74.89798527238258,TRUE,6,9.64919658137201
51,tilapia,23.41526830948578,107,9,401.52735545892244,2780.747183776172,0.09421854015870672,74.1474829570744,TRUE,7,9.501093719394465
52,tilapia,24.64002025956396,102,9,399.64263333257617,2786.5038256530943,0.1116931773550817,76.35203646721513,FALSE,1,9.067712315161323
53,tilapia,24.84695964984452,95,11,399.51614722808745,2791.168794694604,0.0979348677828111,76.72452736972014,FALSE,4,9.10129174680695
54,tilapia,23.881755581132126,101,9,400.0036752517444,2788.1038195726073,0.09703133216010172,74.98716004603783,TRUE,7,9.24559583814351
55,tilapia,23.986997427011946,103,9,400.5912010614505,2781.247736675452,0.09577176299352708,75.1765953686215,FALSE,2,9.377640279824927
56,tilapia,24.2857025316904,98,10,400.13949953281303,2781.2930249831606,0.11667841825633377,75.71426455704272,FALSE,2,9.106202115879144
57,tilapia,24.25404410423162,96,10,399.8073088737165,2784.385594269163,0.10636573865471718,75.65727938761691,FALSE,5,9.301877044006613
58,tilapia,23.417071258989584,97,10,400.789240167925,2783.312036661954,0.10681823973026565,74.15072826618126,TRUE,6,9.661829765441126
59,tilapia,23.66516786937735,98,10,400.5925739774066,2790.4743998539934,0.09290958389918608,74.59730216487924,TRUE,8,9.439450989788085
