longitude,latitude
-56.896887,-63.518976
-75.405817,-69.7601
-45.568997,-60.649105
-90.731154,-68.83395
-90.504618,-68.811476
-55.786564,-63.578958
-90.510902,-68.816515
140.991782,-66.784601
-56.887862,-63.520853
-58.614055,-62.157037
-67.734318,-67.724556
-78.545617,-73.272067
-78.541571,-73.271228
-78.540383,-73.270286
-78.539955,-73.271692
-78.817264,-73.261447
-78.541659,-73.271336
-78.539134,-73.269919
-56.881677,-63.521608
-56.881848,-63.521493
-56.881848,-63.52134
-56.488708,-63.300667
-56.90587,-63.517067
-60.644531,-65.344787
-55.638316,-61.889285
-64.07413,-64.77308
166.64386,-77.84474
166.68837,-77.85665
-68.12382,-67.5638
-45.426013,-60.649559000000004
-62.077856,-64.666072
-45.548554,-60.644346
-55.783995,-63.574342
-56.784991,-63.53035
-58.473236,-62.159794
-46.036667,-60.605
-62.52889,-64.84055
-64.13676,-65.17486
-60.97319,-64.96136
-58.93317,-62.21311
-67.835526,-67.26134
-56.905,-63.52222
-57.00807,-63.3886
-56.69053,-63.97561
-57.307354,-63.196915
-54.608334,-63.394444
-57.28892,-63.7992
-56.578373,-64.30403
-56.744385,-63.860035
-60.905457,-64.14416
-56.77863,-64.08743
-55.783497,-63.566895
-57.289646,-63.19171
166.67642,-77.84514
-55.788147,-63.58005
-62.15337,-64.654655
-57.19065,-64.56261
-57.25611,-63.557777
-56.808044,-64.49053
-56.800514,-64.48347
-56.483055,-63.29889
-56.80764,-64.493
-45.56361,-60.646942
-56.684246,-63.96894
-58.68722,-63.31167
-56.711388,-64.306114
-56.79137,-63.641064
-56.909166,-63.515038
-63.144608,-65.10348
-58.93613,-62.20976
-62.91747,-64.70969
-61.626556,-64.14819
-57.58915,-64.40906
-56.399307,-63.576122
-56.498657,-63.31066
-62.623055,-64.68389
-58.96379,-62.19936
-57.167797,-63.67952
-57.052814,-63.93637
-54.644722,-63.424442
-58.444973,-62.17627
-59.920555,-62.59528
-62.870277,-64.89555
-57.44512,-64.51284
-56.50131,-63.311436
-56.95558,-63.672844
-57.32795,-63.69766
-56.520027,-63.67104
-62.60105,-64.83702
