longitude,latitude,Sp
-61.244389,-62.769478,hairgrass
-57.926638,-62.096625,hairgrass
-60.611872,-62.654044,hairgrass
-60.5447,-62.986192,hairgrass
-67.735464,-67.725738,hairgrass
-67.73615,-67.725335,hairgrass
-36.077168,-54.523318,hairgrass
-35.815325,-54.776511,hairgrass
-36.506783,-54.280094,hairgrass
-45.614208,-60.688007,hairgrass
-45.610729,-60.687851,hairgrass
-36.585766,-54.188435,hairgrass
-60.604047,-62.646553,hairgrass
-59.212951,-51.72888,hairgrass
-62.919133,-64.320883,hairgrass
-62.625279,-64.684671,hairgrass
-64.051894,-64.774957,hairgrass
-58.879021,-62.184968,hairgrass
-62.673805,-64.671032,hairgrass
-63.140783,-64.691727,hairgrass
-36.510204,-54.280756,hairgrass
-58.479751,-62.160156,hairgrass
-58.6712,-62.238369,hairgrass
-61.210992,-62.734111,hairgrass
-61.273593,-62.76231,hairgrass
69.48321,-49.29819,hairgrass
-61.207926,-62.733727,hairgrass
-64.885254,-66.145261,hairgrass
-57.929573,-62.101368,hairgrass
-60.94829,-64.150916,hairgrass
-61.012605,-62.71551,hairgrass
-58.415556,-62.074167,hairgrass
-58.765833,-62.219167,hairgrass
-58.929167,-62.211667,hairgrass
-71.509722,-44.896667,hairgrass
-71.091667,-51.190278,hairgrass
-71.426667,-43.898056,hairgrass
-72.319722,-50.330278,hairgrass
-72.553056,-50.336944,hairgrass
-71.420556,-43.834722,hairgrass
-70.8575,-51.736667,hairgrass
-71.948333,-47.910833,hairgrass
-71.225833,-51.996111,hairgrass
-71.910833,-51.681111,hairgrass
-58.905027,-62.186919,hairgrass
-58.393889,-62.086111,hairgrass
-60.607509,-62.649853,hairgrass
51.71111,-46.35889,hairgrass
51.86639,-46.42944,hairgrass
51.80222,-46.39556,hairgrass
51.72,-46.44194,hairgrass
-62.876198,-64.898547,hairgrass
-58.741944,-62.241667,hairgrass
-58.625833,-62.255278,hairgrass
-58.858056,-62.316389,hairgrass
-58.832778,-62.310833,hairgrass
-58.68,-62.244444,hairgrass
-58.924444,-62.211944,hairgrass
-58.798889,-62.211111,hairgrass
-58.675833,-62.241389,hairgrass
-58.723056,-62.238889,hairgrass
-58.655278,-62.254722,hairgrass
-60.941111,-64.149722,hairgrass
-62.870833,-64.895833,hairgrass
69.89556,-49.48444,hairgrass
70.27528,-49.38472,hairgrass
-62.633333,-64.683333,hairgrass
-58.898776,-62.178528,hairgrass
-36.72,-54.17,hairgrass
-36.72,-54.18,hairgrass
-36.5,-54.3,hairgrass
-45.6,-60.71667,hairgrass
-60.795065,-62.465314,hairgrass
-57.949276,-62.089262,hairgrass
-71.85,-69.37,hairgrass
-60.95,-63.85,hairgrass
-68.37,-67.73,hairgrass
-64.14,-65.33,hairgrass
-67.2,-67.54,hairgrass
-70.1363,-35.0949,hairgrass
-70.1352,-35.0903,hairgrass
-70.136389,-35.095,hairgrass
-59.675643,-64.249277,hairgrass
-36.714731,-54.158196,hairgrass
-62.59,-64.73,hairgrass
-60.38,-62.68,hairgrass
-61.07,-62.63,hairgrass
-58.68,-62.15,hairgrass
-69.7285,-51.6878,hairgrass
-72.2183,-51.2185,hairgrass
-69.1831,-51.6925,hairgrass
-72.2177,-51.2178,hairgrass
-69.7238,-51.686,hairgrass
-69.1765,-51.6888,hairgrass
-60.93,-64.12,hairgrass
-71.0456,-52.7214,hairgrass
-67.52,-68.72,hairgrass
-62.85,-64.88,hairgrass
-26.7,-57.07,hairgrass
-67.07,-67.55,hairgrass
-68.35,-67.6,hairgrass
-68.23,-67.6,hairgrass
-68.25,-67.58,hairgrass
-67.5,-67.68,hairgrass
-68.28,-67.6,hairgrass
73.719444,-53.122222,hairgrass
73.72,-53.115278000000004,hairgrass
73.7194,-53.1222,hairgrass
73.72,-53.1153,hairgrass
-67.95,-53.75,hairgrass
69,-49.15,hairgrass
-61.15,-62.62,hairgrass
-36.710278,-54.18,hairgrass
-61.03,-62.62,hairgrass
-61.08,-62.62,hairgrass
-61.17,-62.65,hairgrass
-61.18,-62.65,hairgrass
-61.15,-62.63,hairgrass
73.711667,-53.102083,hairgrass
73.728889,-53.131111,hairgrass
73.783333,-53.1,hairgrass
73.716667,-53.116667,hairgrass
73.716667,-53.1,hairgrass
73.65,-53.05,hairgrass
-60.02,-62.55,hairgrass
73.675833,-53.143333,hairgrass
73.666667,-53.133333,hairgrass
73.65,-53.15,hairgrass
-62.63,-64.68,hairgrass
-60.75,-63.8,hairgrass
-62.68,-64.72,hairgrass
-58.95916,-62.198185,hairgrass
-61.62,-64.42,hairgrass
-64.17,-65.17,hairgrass
-64.23,-65.23,hairgrass
-67.53,-68.7,hairgrass
-64.22,-65.4,hairgrass
-64.37,-65.53,hairgrass
-64.42,-65.5,hairgrass
-64.1,-65.4,hairgrass
-64.17,-65.33,hairgrass
-64.08,-64.78,hairgrass
73.666667,-53.083333,hairgrass
-62.53,-64.25,hairgrass
-62.55,-64.2,hairgrass
-62.63,-64.12,hairgrass
-62.58,-64.03,hairgrass
-62.65,-64.48,hairgrass
-36.45,-54.15,hairgrass
73.386667,-53.06,hairgrass
73.35,-53.003333,hairgrass
-60.37,-62.67,hairgrass
-62.33,-64.28,hairgrass
-61.25,-62.63,hairgrass
-66.48,-66.92,hairgrass
-36.5,-54.23,hairgrass
-67.32,-67.97,hairgrass
-66.93,-68.22,hairgrass
-61.07,-64.3,hairgrass
-63,-64.33,hairgrass
-61.63,-64.58,hairgrass
-67.17,-68.35,hairgrass
-68.38,-67.73,hairgrass
-67.4,-67.88,hairgrass
-62.55,-64.73,hairgrass
-58.6129,-62.1696,hairgrass
-64.05,-64.766667,hairgrass
-64.05,-64.77,hairgrass
-36.5,-54.28,hairgrass
-70.8,-43.483,hairgrass
-68.566,-54.833,hairgrass
-36.3,-54.28,hairgrass
-71,-53.16666,hairgrass
-68.33333,-54.8,hairgrass
-54.7,-61.15,hairgrass
51.83,-46.42,hairgrass
-36.17,-54.5,hairgrass
-68.45,-53.06666,hairgrass
-45.65,-60.63,hairgrass
-45.58,-60.63,hairgrass
-45.5,-60.63,hairgrass
-72.433333,-52.033333,hairgrass
-63.98,-64.8,hairgrass
-45.63,-60.67,hairgrass
-45.77,-60.65,hairgrass
-45.9,-60.63,hairgrass
-55.4,-61.15,hairgrass
70.333333,-49.333333,hairgrass
-71.8,-51.75,hairgrass
-37.85,-54.02,hairgrass
-55.13,-61.17,hairgrass
51.85,-46.41667,hairgrass
51.71667,-46.45,hairgrass
-45.58,-60.65,hairgrass
-45.6,-60.67,hairgrass
-71.25,-51.466667,hairgrass
51.37,-46.43,hairgrass
-68.5,-54.3,hairgrass
-58.68,-62.23,hairgrass
-67,-67.55,hairgrass
-59.92,-62.58,hairgrass
-58.48,-62.13,hairgrass
-58.1,-62.12,hairgrass
-57.92,-62.08,hairgrass
-57.92,-62.07,hairgrass
-58.37,-62.07,hairgrass
-58.43,-62.08,hairgrass
-58.7,-62.22,hairgrass
-59.02,-62.22,hairgrass
-45.67,-60.7,hairgrass
-64.1,-64.77,hairgrass
-67.03,-68.2,hairgrass
-45.6,-60.72,hairgrass
-45.62,-60.7,hairgrass
-45.63,-60.68,hairgrass
-64.25,-65.25,hairgrass
-64.18,-65.18,hairgrass
-64.23,-65.25,hairgrass
-64.03,-64.82,hairgrass
-45.62,-60.72,hairgrass
-60.35,-62.75,hairgrass
-60.37,-62.65,hairgrass
-61.18,-62.67,hairgrass
-61.18,-62.63,hairgrass
-61.1,-62.68,hairgrass
-60.97,-64.15,hairgrass
-36.3,-54.32,hairgrass
-36.27,-54.33,hairgrass
-36.67,-54.22,hairgrass
-36.62,-54.2,hairgrass
50.23333,-46.1,hairgrass
70.04754,-49.47724,hairgrass
-36.3,-54.38,hairgrass
-60.63,-52.25,hairgrass
69.68861,-49.28028,hairgrass
51.85673,-46.41872,hairgrass
51.85574,-46.42253,hairgrass
-26.67,-57.05,hairgrass
-64.1,-65.43,hairgrass
-64.23,-65.42,hairgrass
-64.17,-65.32,hairgrass
-64.13,-65.27,hairgrass
-64.1,-65.23,hairgrass
-68.42,-67.73,hairgrass
-64.0775,-64.7669,hairgrass
-61.12,-64.23,hairgrass
-60.37,-62.7,hairgrass
-58.67,-62.2317,hairgrass
-64.65,-64.75,hairgrass
-36.68,-54.13,hairgrass
69.83334,-49.45833,hairgrass
-45.63,-60.72,hairgrass
-62.72,-64.77,hairgrass
-61.07,-64.28,hairgrass
-59.4,-63.85,hairgrass
51.81155,-46.42803,hairgrass
51.75611,-46.41139,hairgrass
51.86236,-46.42661,hairgrass
-37.35,-54.05,hairgrass
-36.7,-54.17,hairgrass
-36.48,-54.28,hairgrass
-62.87,-64.9,hairgrass
-26.7,-57.03,hairgrass
-60.6,-62.6,hairgrass
61,-64,hairgrass
-36.1,-54.5,hairgrass
-36.57,-54.27,hairgrass
-36.5,-54.27,hairgrass
-36.50898,-54.26256,hairgrass
-36.65,-54.2,hairgrass
-36.02,-54.83,hairgrass
-36.62,-54.52,hairgrass
-37.25,-54.25,hairgrass
-36.5,-54.28333,hairgrass
70.21657,-49.35006,hairgrass
-37.22165,-54.2258,hairgrass
70.21034,-49.3512,hairgrass
-36.52,-54.27,hairgrass
-58.9050272541,-62.1869187562,hairgrass
-61.2109916667,-62.7341111111,hairgrass
-60.9482903407,-64.1509164918,hairgrass
-61.012604709,-62.7155100571,hairgrass
-36.2744541289,-54.340511691,hairgrass
-60.6040466667,-62.6465533333,hairgrass
-60.5447,-62.9861916667,hairgrass
-59.9011893295,-62.5956283689,hairgrass
-36.5857658333,-54.1884346667,hairgrass
-62.8714613444,-64.896194084,hairgrass
-45.6142079722,-60.6880069722,hairgrass
-45.6107289722,-60.687851,hairgrass
-67.7354641042,-67.7257381466,hairgrass
-36.0890833333,-54.5228783333,hairgrass
-60.6075295061,-62.6540914877,hairgrass
-35.815325,-54.7765111111,hairgrass
-60.6118722222,-62.6540444444,hairgrass
-57.9266383333,-62.096625,hairgrass
-61.2443888889,-62.7694777778,hairgrass
-59.9004338697,-62.5958361674,hairgrass
-36.077168,-54.523318,hairgrass
-36.023478,-54.522761,hairgrass
-36.5067833333,-54.2800944444,hairgrass
-67.7361499722,-67.725335,hairgrass
-62.9191333333,-64.3208833333,hairgrass
-61.2039707322,-62.7315630718,hairgrass
-60.6075087375,-62.6498527008,hairgrass
-58.8987758465,-62.178528487,hairgrass
-59.2129511386,-51.7288797313,hairgrass
-59.6756428877,-64.2492765734,hairgrass
