longitude,latitude
-62.629714,-64.667578
-63.491943,-64.826625
-67.397757,-54.903705
-59.73874,-62.406827
-62.596074,-64.729683
-62.615833,-64.68085
-60.948143,-64.153016
-67.392687,-54.906192
-67.395437,-54.904472
-36.011642,-54.518661
-37.039417,-54.492303
-62.928244,-64.88945
-37.027867,-54.49864
-37.02788,-54.498637
-62.60038,-64.727508
-37.034223,-54.495428
-67.391911,-54.906955
-63.434911,-64.785333
-59.072092,-52.42555
-36.301783,-54.278289
-59.921452,-62.588379
-63.231016,-64.894901
-62.546539,-64.882224
-62.595485,-64.735935
-62.74696,-64.823102
-37.036304,-54.485609
-57.779889,-51.5126
-56.882106,-63.521493
-56.881762,-63.521632
-64.056126,-65.101794
-67.374567,-54.904479
-60.563103,-51.280426
-56.488708,-63.300667
-60.79093,-63.90292
-62.54242,-64.882224
-62.62905,-64.684013
-62.213017,-64.593088
-59.741487,-62.406537
-59.741013,-62.40722
-62.870895,-64.895355
-59.741294,-62.407103
-56.996303,-63.395353
-67.374126,-54.904537
-67.368068,-54.882061
-67.367464,-54.882547
-67.366537,-54.881728
-68.216324,-54.842349
-35.943733,-54.618547
-35.943862,-54.618156
-60.611796,-62.657937
-57.799064,-51.686509
-64.249532,-65.248632
-64.249704,-65.248691
-67.833313,-53.698163
-67.723565,-53.754594
-67.723563,-53.754593
-64.24936,-65.248493
-67.376495,-54.904398
-67.37426,-54.90498
-67.38764,-54.906095
-67.374452,-54.904913
-67.37484,-54.905174
-35.854285,-54.789838
-58.239075,-51.832275
-63.565578,-64.834314
-63.516163,-64.816703
-37.630398,-54.163209
-61.213608,-51.036068
-59.917198,-62.592433
-59.90255,-62.59557
-62.617085,-64.681167
-57.798084,-51.6808
-59.092155,-52.429127
-61.307026,-51.73795
-57.723152,-51.682945
-57.72131,-51.681988
-56.87582,-51.672592
-67.37426,-54.905483
70.30739,-49.390102
-59.585255,-51.318806
-57.78571,-51.673195
-57.8084,-51.676403
-57.84347,-51.6081
-57.750996,-51.623787
-58.215202,-51.860313
-58.84644,-52.194317
37.736496,-46.90725
-57.83379,-51.47983
-57.752262,-51.638348
-57.717957,-51.682037
70.5543,-49.238663
-58.368496,-51.886593
-68.3021,-54.807938
-57.77612,-51.625824
-57.776405,-51.626575
-67.402951,-54.887413
-61.252636,-51.68964
-57.776253,-51.65322
-61.299335,-51.724564
-59.372864,-51.676815
-60.43455,-51.61764
-67.40033,-54.90329
-67.95044,-54.871864
-57.673233,-51.63416
-57.777885,-51.584877
-60.416706,-51.58553
-38.074657,-54.010674
-59.089268,-52.932434
-66.5833,-55.083
-59.2514,-51.697124
-38.0479,-54.012012
-57.76944,-51.649403
-61.240517,-51.671326
-59.213303,-51.72873
-59.117683,-49.636913
-57.80647,-51.70355
-57.741659,-51.680826
-59.06074,-52.4243
-37.91294,-54.263058
26.555,-81.2666
-35.66316,-54.003662
-60.763206,-50.25081
-70.94574,-53.239254
-57.72279,-51.66657
-38.0481,-54.00675
-35.663246,-54.740566
-38.075558,-54.01087
-70.88065,-53.14394
-70.87954,-53.14382
-70.88446,-53.15071
-70.88416,-53.150723
-56.75,-51.865
-57.75,-51.865
-58.75,-52.866
-57.869946,-51.727585
-58.75,-52.65
-57.75,-52.08
-57.2,-51.205
-56.75,-51.08
-59.25,-52.86
-58.073437,-51.578796
-62.628338,-64.683861
-62.631522,-64.685013
-60.639499,-62.921407
-64.13676,-65.17486
-62.623055,-64.68389
-36.66643,-54.122753
-62.52889,-64.84055
-60.791557,-63.902363
-63.95861,-65.09139
-36.414524,-54.171978
-54.608334,-63.394444
-54.588806,-61.141853
-54.591293,-61.132736
-35.81189,-54.785988
-62.870277,-64.89555
-58.25532,-52.058613
-62.13389,-64.3375
-55.56972,-61.475555
-56.905,-63.52222
-35.94353,-54.623623
-59.74917,-62.406387
-58.93317,-62.21311
-70.859795,-53.126904
-59.920555,-62.59528
-62.14035,-64.28913
-70.85425,-53.129913
-62.364246,-64.49755
-70.86107,-53.134117
-57.289646,-63.19171
-36.166435,-54.443844
-60.905457,-64.14416
-63.77603,-64.98643
-57.00807,-63.3886
-64.01429,-65.0662
-61.996387,-64.28222
-62.593838,-64.733955
-57.778763,-51.6982
-59.90066,-62.595554
-67.33126,-54.87799
-58.473236,-62.159794
-62.15337,-64.654655
-57.25611,-63.557777
-63.406113,-64.91972
-57.74092,-51.512585
-45.56361,-60.646942
-54.65111,-61.103333
-61.966736,-64.299934
-62.85171,-64.81624
-62.41797,-64.5381
-58.881912,-52.22267
-59.628056,-62.45028
-46.036667,-60.605
-37.25777,-54.028294
-58.009903,-51.50584
-36.711803,-54.158916
-60.697468,-51.353252
-56.744385,-63.860035
-58.68722,-63.31167
-60.52422,-51.297775
-54.859444,-61.099304
-60.561714,-62.98323
-64.05278,-65.1025
-57.307354,-63.196915
-36.0779,-54.521927
-62.555878,-64.60653
-57.87044,-51.434326
-56.79137,-63.641064
-62.630154,-64.666611
-62.52927,-64.846657
-36.715137,-54.151813
-59.7722,-62.529851
-62.62537,-64.682888
-67.361997,-54.895466
-56.520027,-63.67104
-36.290997,-54.29812
-61.312115,-51.715824
-58.96379,-62.19936
-37.967506,-54.02068
-62.91747,-64.70969
-61.761112,-64.501945
-63.509724,-64.815834
-62.045036,-64.232445
-57.820103,-51.669468
-58.838276,-52.192757
-62.835045,-64.658966
-60.2333,-51.30774
-62.076572,-64.66144
-56.498657,-63.31066
-57.55714,-61.65829
-56.50131,-63.311436
-57.58915,-64.40906
-62.598686,-64.729485
-58.444973,-62.17627
-62.80467,-64.52274
-60.538788,-51.29413
-62.878613,-64.854164
-61.7575,-64.149445
-63.072777,-64.53648
-61.21582,-51.03578
-56.98908,-63.73163
-64.02509,-64.86981
-59.007286,-62.230625
-58.439236,-62.215202
-54.644722,-63.424442
-61.204445,-62.726944
-63.668957,-64.94512
-61.626556,-64.14819
-57.973167,-51.7505
-61.298714,-51.72474
-36.4834,-54.070015
-57.97248,-51.750355
-62.554443,-64.62666
-58.46998,-62.235096
-62.60105,-64.83702
-62.8878,-64.51874
-62.9161,-64.51593
-63.461395,-64.80103
-56.894783,-63.33242
-59.66332,-62.478992
-61.627224,-64.144104
-60.053192,-51.182346
-58.971268,-62.19539
-67.02877,-54.940617
-62.602287,-64.73021
-55.15604,-61.28321
-62.6094,-64.7304
-55.265453,-61.270798
-60.50611,-62.966667
-58.93613,-62.20976
-56.1864,-63.6273
-63.493057,-64.82694
-60.63639,-62.95889
-63.156624,-64.54003
-62.020382,-64.1264
-59.01714,-52.32552
-62.701023,-64.76712
-36.291245,-54.222008
-60.73389,-63.919445
-62.04606,-64.67667
-62.589794,-64.72784
-61.99966,-64.53848
-62.854576,-64.41434
-63.152935,-57.10779
-54.489998,-61.039265
-62.53278,-64.62222
-56.778942,-63.713135
-63.49778,-64.81472
-57.06617,-63.64796
-58.91062,-62.20691
-59.578083,-62.542973
-62.06472,-64.27028
-67.14373,-54.953377
-55.788147,-63.58005
-60.85982,-62.68742
-54.06603,-62.08164
-55.205,-61.279
-62.871002,-64.717026
-59.594803,-62.038258
-57.25625,-63.72504
-62.62691,-64.68923
-57.91223,-62.0929
-67.314384,-54.932056
-59.768612,-62.525833
-60.3824,-61.518654
-62.80421,-64.86132
-62.529686,-64.84363
-54.25039,-62.12795
-36.030945,-54.80156
-58.183594,-62.060445
-35.961646,-54.628797
-56.883624,-63.522207
-61.340105,-64.483823
-63.439373,-65.433771
-63.900541,-65.534547
-62.601667,-64.730833
-62.601822,-64.731178
-62.601158,-64.730705
-62.597076,-64.729637
-62.594795,-64.730141
-62.592598,-64.732079
-62.870278,-64.895556
-62.598005,-64.729462
158.918941,-54.564648
-62.856512,-64.824063
-56.883766,-63.521194
-62.626606,-64.736359
-67.375,-54.905
-62.593189,-64.730896
-63.49265,-64.8267
-64.257774,-65.24556
-63.858658,-64.87351
-58.82414,-62.45695
-61.879402,-62.946617
-62.44008,-64.538570000000007
-36.50816,-54.28085
-58.42917,-62.13028
-64.03888,-65.11106
-56.160694,-52.149128
-60.58611,-62.649387
-44.9135,-60.73123
-62.20972,-63.232224
158.85146,-54.716316
-36.81591,-54.14905
-36.264366,-54.338245
-36.580555,-54.197224
158.91632,-54.56681
-35.861614,-54.434303
-56.988586,-63.46487
-36.10412,-54.544014
-55.357,-61.234
-59.38639,-62.4475
-61.693577,-64.56276
-58.61611,-62.26
-67.566055,-54.873325
-63.357224,-64.77861
-37.258495,-54.028076
-57.010384,-63.02968
-54.858112,-61.15311
158.93813,-54.4989
-60.756798,-63.903404
-55.095554,-61.128613
-54.798347,-61.043682
-56.99778,-63.39722
-57.822186,-51.692
-36.355,-54.312683
-61.719948,-64.46998
70.09166,-49.47148
-44.7375,-60.737778
-62.135277,-63.306667
-36.75778,-54.155
-57.032127,-63.400883
-62.09801,-64.66339
-62.52989,-64.844086
-59.204514,-62.57869
-67.37409,-54.90505
-54.85379,-61.21885
-63.89664,-65.04302
-58.559704,-62.348484
70.30496,-49.057888
-61.07139,-64.285
-60.61,-62.65403
-38.053616,-53.95647
-27.305054,-59.45899
-60.59889,-62.93611
-62.8734,-64.8995
-57.808067,-51.704655
-62.21244,-64.68482
-64.2547,-65.2407
-67.37427,-54.905598
-57.926888,-62.102
-55.383114,-61.14754
70.44142,-49.379356
-59.58419,-62.52091
-54.860493,-61.091217
-56.997284,-63.398125
-57.723846,-51.652153
-60.787468,-63.880272
-65.34146,-55.052643
-64.0606,-65.08933
-62.58601,-64.69472
-54.720154,-61.146606
-54.702946,-61.096584
-58.215267,-51.859955
-44.724827,-60.74354
-58.355846,-51.88255
-60.19203,-51.32735
-56.483055,-63.29889
-65.56641,-60.28341
-37.33195,-54.057575
-60.95222,-63.85611
-62.60751,-64.8486
-62.626118,-64.68453
-62.962975,-64.3121
-26.477505,-57.799183
-56.881294,-63.521748
-60.37402,-62.64754
-63.894703,-65.04293
-62.927223,-64.889725
-61.254528,-62.770412
-57.028915,-63.40016
-55.137768,-61.218918
-58.539585,-62.241913
-54.74754,-61.154488
-63.178482,-64.700874
-63.885,-64.86667
-62.15119,-64.680244
-58.8667,-51.3333
70.28731,-49.478386
-56.787262,-63.441883
-61.39574,-62.835995
-59.44054,-62.167732
69.920425,-49.376694
70.04814,-49.477505
-62.708412,-64.601814
-61.103626,-64.2738
-57.764263,-51.677692
-60.990677,-51.90555
-56.705963,-63.459305
-55.085163,-61.093906
-64.23145,-64.869545
-37.975212,-54.021416
-58.95941,-62.199253
-36.020737,-54.84092
-60.897438,-64.142914
-68.083305,-54.871494
-57.578396,-51.603462
-59.760693,-62.37975
-56.904247,-63.519505
-36.72399,-54.15309
-59.117245,-63.16309
-65.02596,-54.875965
-57.9336,-62.103886
-62.877613,-64.535614
-58.474304,-62.158768
-60.115643,-62.627192
-58.068798,-51.758198
-60.527451,-51.308116
-64.167023,-65.156214
-64.076843,-65.11747
-62.595261,-64.730049
-59.586781,-62.543728
-60.976538,-64.13188
-60.791487,-63.901538
-63.494542,-64.825455
-63.493101,-64.826035
-60.625245,-62.6496
-67.386593,-54.908259
-60.77735,-63.901008
-67.386835,-54.906603
-67.944917,-54.859792
-58.931677,-62.210957
-58.901181,-62.185668
-63.491985,-64.826096
-60.238476,-51.306002
-62.624187,-64.682533
-62.120053,-64.571681
-57.83345,-51.479163
-62.7189,-64.61995
-62.627067,-64.683667
-63.490067,-64.827433
-61.052967,-64.095
-64.24167,-64.59805
-68.06114,-62.462082
-58.90296,-62.45642
-63.950558,-65.07528
-57.781734,-51.668438
-63.52009,-64.82331
-63.656387,-64.336945
-63.043686,-64.83265
-64.083,-65.33
-58.394394,-51.902283
-63.49389,-64.82528
-61.85159,-62.855793
-56.886627,-63.520943
70.038956,-49.14018
-63.50028,-64.825836
70.056725,-49.117046
-60.231346,-51.307186
-62.936474,-64.91352
69.9303,-49.471092
-59.665695,-52.36078
-60.599384,-62.647472
-63.020542,-64.41951
-58.899666,-62.18435
-56.5754,-63.2166
-59.746586,-62.353775
-58.44674,-51.888405
-37.298157,-54.156803
-63.152744,-65.06561
-63.494484,-64.82525
-62.663147,-64.65904
-36.677776,-54.142776
-62.86219,-64.75896
-62.314716,-64.486465
-60.87073,-63.95593
-35.63056,-54.68401
-57.339027,-63.11681
-58.053722,-51.37819
-56.874313,-63.517307
-62.859165,-64.915276
-62.857224,-64.82389
-64.083,-65.06
-64.05082,-65.105064
-64.24194,-64.65305
-68.30832,-54.809303
-35.79277,-54.913883
-62.627365,-64.68383
-67.33595,-54.01618
-67.02111,-54.94382
-58.885387,-52.22206
-67.37381,-54.9099
-62.63111,-64.842224
-62.866238,-64.75731
-60.63241,-51.36624
-60.85339,-62.6855
-60.646667,-62.951942
-56.90547,-63.51858
-60.231438,-51.306187
-58.070427,-51.76353
-68.22575,-54.854843
-63.945,-65.079292
-67.834897,-54.886889
-37.257083,-54.0302
-57.005412,-58.656982
-58.812437,-51.306672
-37.668354,-53.911846
-37.305042,-54.058594
-56.57903,-63.403606
-59.5126,-62.088474
-37.68461,-54.011047
-59.707573,-62.486732
-37.14639,-54.06278
-68.9135,-50.337666
-37.455063,-53.937214
