prov,latitude,longitude,source
gbif,-62.769478,-61.244389,gbif
gbif,-62.096625,-57.926638,gbif
gbif,-62.654044,-60.611872,gbif
gbif,-62.986192,-60.5447,gbif
gbif,-67.725738,-67.735464,gbif
gbif,-67.725335,-67.73615,gbif
gbif,-54.523318,-36.077168,gbif
gbif,-54.776511,-35.815325,gbif
gbif,-54.280094,-36.506783,gbif
gbif,-60.688007,-45.614208,gbif
gbif,-60.687851,-45.610729,gbif
gbif,-54.188435,-36.585766,gbif
gbif,-62.646553,-60.604047,gbif
gbif,-51.72888,-59.212951,gbif
gbif,-64.320883,-62.919133,gbif
gbif,-64.684671,-62.625279,gbif
gbif,-64.774957,-64.051894,gbif
gbif,-62.184968,-58.879021,gbif
gbif,-64.671032,-62.673805,gbif
gbif,-64.691727,-63.140783,gbif
gbif,-54.280756,-36.510204,gbif
gbif,-62.160156,-58.479751,gbif
gbif,-62.238369,-58.6712,gbif
gbif,-62.734111,-61.210992,gbif
gbif,-62.76231,-61.273593,gbif
gbif,-49.29819,69.48321,gbif
gbif,-62.733727,-61.207926,gbif
gbif,-66.145261,-64.885254,gbif
gbif,-62.101368,-57.929573,gbif
gbif,-64.150916,-60.94829,gbif
gbif,-62.71551,-61.012605,gbif
gbif,-62.074167,-58.415556,gbif
gbif,-62.219167,-58.765833,gbif
gbif,-62.211667,-58.929167,gbif
gbif,-44.896667,-71.509722,gbif
gbif,-51.190278,-71.091667,gbif
gbif,-43.898056,-71.426667,gbif
gbif,-50.330278,-72.319722,gbif
gbif,-50.336944,-72.553056,gbif
gbif,-43.834722,-71.420556,gbif
gbif,-51.736667,-70.8575,gbif
gbif,-47.910833,-71.948333,gbif
gbif,-51.996111,-71.225833,gbif
gbif,-51.681111,-71.910833,gbif
gbif,-62.186919,-58.905027,gbif
gbif,-62.086111,-58.393889,gbif
gbif,-62.649853,-60.607509,gbif
gbif,-46.35889,51.71111,gbif
gbif,-46.42944,51.86639,gbif
gbif,-46.39556,51.80222,gbif
gbif,-46.44194,51.72,gbif
gbif,-64.898547,-62.876198,gbif
gbif,-62.241667,-58.741944,gbif
gbif,-62.255278,-58.625833,gbif
gbif,-62.316389,-58.858056,gbif
gbif,-62.310833,-58.832778,gbif
gbif,-62.244444,-58.68,gbif
gbif,-62.211944,-58.924444,gbif
gbif,-62.211111,-58.798889,gbif
gbif,-62.241389,-58.675833,gbif
gbif,-62.238889,-58.723056,gbif
gbif,-62.254722,-58.655278,gbif
gbif,-64.149722,-60.941111,gbif
gbif,-64.895833,-62.870833,gbif
gbif,-49.48444,69.89556,gbif
gbif,-49.38472,70.27528,gbif
gbif,-64.683333,-62.633333,gbif
gbif,-62.178528,-58.898776,gbif
gbif,-54.17,-36.72,gbif
gbif,-54.18,-36.72,gbif
gbif,-54.3,-36.5,gbif
gbif,-60.71667,-45.6,gbif
gbif,-62.465314,-60.795065,gbif
gbif,-62.089262,-57.949276,gbif
gbif,-69.37,-71.85,gbif
gbif,-63.85,-60.95,gbif
gbif,-67.73,-68.37,gbif
gbif,-65.33,-64.14,gbif
gbif,-67.54,-67.2,gbif
gbif,-35.0949,-70.1363,gbif
gbif,-35.0903,-70.1352,gbif
gbif,-35.095,-70.136389,gbif
gbif,-64.249277,-59.675643,gbif
gbif,-54.158196,-36.714731,gbif
gbif,-64.73,-62.59,gbif
gbif,-62.68,-60.38,gbif
gbif,-62.63,-61.07,gbif
gbif,-62.15,-58.68,gbif
gbif,-51.6878,-69.7285,gbif
gbif,-51.2185,-72.2183,gbif
gbif,-51.6925,-69.1831,gbif
gbif,-51.2178,-72.2177,gbif
gbif,-51.686,-69.7238,gbif
gbif,-51.6888,-69.1765,gbif
gbif,-64.12,-60.93,gbif
gbif,-52.7214,-71.0456,gbif
gbif,-68.72,-67.52,gbif
gbif,-64.88,-62.85,gbif
gbif,-57.07,-26.7,gbif
gbif,-67.55,-67.07,gbif
gbif,-67.6,-68.35,gbif
gbif,-67.6,-68.23,gbif
gbif,-67.58,-68.25,gbif
gbif,-67.68,-67.5,gbif
gbif,-67.6,-68.28,gbif
gbif,-53.122222,73.719444,gbif
gbif,-53.115278000000004,73.72,gbif
gbif,-53.1222,73.7194,gbif
gbif,-53.1153,73.72,gbif
gbif,-53.75,-67.95,gbif
gbif,-49.15,69,gbif
gbif,-62.62,-61.15,gbif
gbif,-54.18,-36.710278,gbif
gbif,-62.62,-61.03,gbif
gbif,-62.62,-61.08,gbif
gbif,-62.65,-61.17,gbif
gbif,-62.65,-61.18,gbif
gbif,-62.63,-61.15,gbif
gbif,-53.102083,73.711667,gbif
gbif,-53.131111,73.728889,gbif
gbif,-53.1,73.783333,gbif
gbif,-53.116667,73.716667,gbif
gbif,-53.1,73.716667,gbif
gbif,-53.05,73.65,gbif
gbif,-62.55,-60.02,gbif
gbif,-53.143333,73.675833,gbif
gbif,-53.133333,73.666667,gbif
gbif,-53.15,73.65,gbif
